Title,Description,ReleaseDate
Les misérables,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean., 1995
Nueba Yol,The humble and hardworking Orodoto Balbuena finally gets an opportunity of realizing his lifelong dream of reaching New York and living the , 1995
Separate Lives,The ex, 1995
Stuart Saves His Family,A self, 1995
Nelly & Monsieur Arnaud,"When Nelly, a woman being just divorced, meets by chance M. Arnaud, a mature salesman just retired, begins a strange and special relationship between the two personalities.", 1995
Heavy,"The life of an overweight, unhappy cook is changed after a kind, beautiful college drop", 1995
The Crossing Guard,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl., 1995
Guantanamera,It is a satire about life in Cuba. The members of a funeral procession and some truckdrivers who have to take the same route begin to talk about god and the world ending up in discovering ...                , 1995
The Young Poisoner's Handbook,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co", 1995
Les rendez-vous de Paris,Three stories of love and coincidence around the theme of dates in Paris., 1995
Kicking and Screaming,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all...                ", 1995
Wigstock: The Movie,Documentary, 1995
"Cry, the Beloved Country",A South, 1995
La Cérémonie,The upper, 1995
Stonewall,A group of homosexual people try to live with dignity and self, 1995
Le confessionnal,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...                ", 1995
Eldorado,"It's summer and it's hot in Montreal, and we meet many people", 1995
The Underneath,A recovering gambling addict attempts to reconcile with his family and friends but finds trouble and temptation when caught between feelings for his ex, 1995
Funny Bones,An unsuccessful comedian uncovers a family secret and learns the true price of letting inherent talent shine., 1995
Things to Do in Denver When You're Dead,Five different criminals face imminent death after botching a job quite badly., 1995
Margaret's Museum,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe", 1995
Safe,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity., 1995
The Grass Harp,"After his mother's death, Collin Fenwick goes to live with his father's cousins, the wealthy, avaricious, and controlling Verena Talbo, and her compliant, earthy sister Dolly. When a city ...                ", 1995
The White Balloon,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with., 1995
Party Girl,Mary is a free, 1995
The Run of the Country,"In a small village on the border of Northern Ireland and The Republic of Ireland, the relationship between a short tempered policeman and his rebellious son becomes even more strenuous when the young man falls for a ", 1995
A Pyromaniac's Love Story,A pastry boy and the son of a hair, 1995
The Last Supper,"A group of idealistic, but frustrated, liberals succumb to the temptation of murdering rightwing pundits for their political beliefs.", 1995
Happiness Is in the Field,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend ...                ", 1995
3 Ninjas Knuckle Up,"In this movie Rocky, Colt and TumTum must battle an evil wealthy toxic waste dumper in order to save a local Indian tribe and their friend Joe. The 3 Ninjas must help find Joe's father and ...                ", 1995
Last Summer in the Hamptons,"Filmed entirely on location in East Hampton, Long Island, ", 1995
Search and Destroy,"A satire about desperate hustling, pop philosophy and big money.", 1995
Flamenco,"As a hall fills with performers, a narrator says that flamenco came from Andalucia, a mix of Greek psalms, Mozarabic dirges, Castillian ballads, Jewish laments, Gregorian chants, African ...                ", 1995
Gospa,In 1981 in Medjugorje , 1995
A Midwinter's Tale,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent ...                ", 1995
Total Eclipse,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.", 1995
Cold Fever,A Japanese businessman travels to Iceland and has a series of misadventures while venturing to a remote area to perform a traditional burial ritual where his parents died several years back., 1995
Palookaville,"Jerry and his two pals, Russ and Syd, are just looking for some easy money to help them break out of their nowhere lives in their nowhere town. Despite a bungled jewelry store heist which ...                ", 1995
La Haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot., 1995
Empire Records,The employees of an independent music store learn about each other as they try anything to stop the store being absorbed by a large chain., 1995
The Addiction,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.", 1995
Rumpelstiltskin,"In the 1400s, Rumpelstiltskin is imprisoned inside a small jade figurine. In modern", 1995
Feast of July,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.", 1995
L'enfant d'eau,"A small plane crashes in the Caribbean, leaving only two survivors", 1995
The Doom Generation,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence", 1995
An Awfully Big Adventure,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth...                ", 1995
Lie Down with Dogs,Tommie is a young guy in Manhattan with a dead, 1995
